term,n_videos,n_regions,regions,weight,max_outlier,example_title,example_url
baby,3,12,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE, US",9847,816.0,"""she just had her first ever baby"" ""it's another little boy"" 😭",https://youtu.be/vgy_IbegP40
cat,3,12,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE, US",9622,397.8,Why Is This Cat Eating From a Puddle?! 😳🐾,https://youtu.be/myE2cT7mZmI
rtx5050 gtx1080ti,3,12,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE, US",7292,193.2,“The true power of CTRL + Z💀” #pcgaming #benchmark #rtx5050 #gtx1080ti,https://youtu.be/Thh2i5SJAUw
pcgaming benchmark,3,12,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE, US",7292,193.2,“The true power of CTRL + Z💀” #pcgaming #benchmark #rtx5050 #gtx1080ti,https://youtu.be/Thh2i5SJAUw
benchmark rtx5050,3,12,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE, US",7292,193.2,“The true power of CTRL + Z💀” #pcgaming #benchmark #rtx5050 #gtx1080ti,https://youtu.be/Thh2i5SJAUw
iphone,2,12,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE, US",6317,288.9,The iPhone That Bent in Your Pocket,https://youtu.be/sglSftkhmGA
ps5,2,13,"AT, AU, CA, CH, DE, DK, FR, GB, IE, NL, NO, SE, US",5661,234.0,How DualSense Changes Gaming! #dualsense #gaming #ps5 #gamingshorts,https://youtu.be/Q00dqzgQ6u8
gaming,2,13,"AT, AU, CA, CH, DE, DK, FR, GB, IE, NL, NO, SE, US",5661,234.0,How DualSense Changes Gaming! #dualsense #gaming #ps5 #gamingshorts,https://youtu.be/Q00dqzgQ6u8
built,2,12,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE, US",5339,433.8,I Built a Transparent Screen Into My PC Case,https://youtu.be/GD0tqRdxFjk
seconds,2,12,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE, US",5246,374.1,2000HP+ 3rd-Gen Camaro DESTROYS the Drag Strip! 💀,https://youtu.be/21PxTspMIa0
